year,school_id,cipcode,major_number,total,instnm
2005,166027,05.0108,1,4,Harvard University
2005,166027,05.0108,2,6,Harvard University
2005,166027,05.0201,1,5,Harvard University
2005,166027,05.0201,2,7,Harvard University
2005,166027,05.0207,1,6,Harvard University
2005,166027,05.0207,2,6,Harvard University
2005,166027,11.0701,1,32,Harvard University
2005,166027,14.1301,1,25,Harvard University
2005,166027,16.0102,1,12,Harvard University
2005,166027,16.0102,2,1,Harvard University
2005,166027,16.0400,1,5,Harvard University
2005,166027,16.0400,2,2,Harvard University
2005,166027,16.0501,1,4,Harvard University
2005,166027,16.0501,2,1,Harvard University
2005,166027,16.0702,1,0,Harvard University
2005,166027,16.0702,2,1,Harvard University
2005,166027,16.0900,1,18,Harvard University
2005,166027,16.0900,2,6,Harvard University
2005,166027,16.1200,1,12,Harvard University
2005,166027,16.1200,2,1,Harvard University
2005,166027,16.1202,1,1,Harvard University
2005,166027,16.1203,1,4,Harvard University
2005,166027,16.9999,1,1,Harvard University
2005,166027,23.0101,1,117,Harvard University
2005,166027,23.0101,2,4,Harvard University
2005,166027,23.9999,1,7,Harvard University
2005,166027,23.9999,2,2,Harvard University
2005,166027,24.0101,1,131,Harvard University
2005,166027,26.0101,1,106,Harvard University
2005,166027,26.0202,1,70,Harvard University
2005,166027,27.0101,1,29,Harvard University
2005,166027,27.0101,2,13,Harvard University
2005,166027,27.0301,1,36,Harvard University
2005,166027,27.0501,1,3,Harvard University
2005,166027,38.0101,1,23,Harvard University
2005,166027,38.0101,2,4,Harvard University
2005,166027,38.0201,1,24,Harvard University
2005,166027,38.0201,2,4,Harvard University
2005,166027,40.0299,1,1,Harvard University
2005,166027,40.0299,2,2,Harvard University
2005,166027,40.0501,1,27,Harvard University
2005,166027,40.0601,1,6,Harvard University
2005,166027,40.0801,1,37,Harvard University
2005,166027,40.0801,2,3,Harvard University
2005,166027,40.0802,1,14,Harvard University
2005,166027,42.0101,1,115,Harvard University
2005,166027,42.0101,2,3,Harvard University
2005,166027,45.0101,1,95,Harvard University
2005,166027,45.0201,1,50,Harvard University
2005,166027,45.0201,2,3,Harvard University
2005,166027,45.0601,1,271,Harvard University
2005,166027,45.0601,2,12,Harvard University
2005,166027,45.1001,1,193,Harvard University
2005,166027,45.1001,2,4,Harvard University
2005,166027,45.1101,1,29,Harvard University
2005,166027,45.1101,2,2,Harvard University
2005,166027,50.0101,1,30,Harvard University
2005,166027,50.0101,2,2,Harvard University
2005,166027,50.0703,1,25,Harvard University
2005,166027,50.0703,2,2,Harvard University
2005,166027,50.0901,1,13,Harvard University
2005,166027,50.0901,2,4,Harvard University
2005,166027,54.0101,1,93,Harvard University
2005,166027,54.0101,2,2,Harvard University
2005,166027,54.0104,1,35,Harvard University
2005,166027,54.0104,2,3,Harvard University
2005,166027,54.0199,1,60,Harvard University
2005,166683,04.0201,1,28,Massachusetts Institute of Technology
2005,166683,04.0301,1,6,Massachusetts Institute of Technology
2005,166683,09.0102,1,7,Massachusetts Institute of Technology
2005,166683,11.0701,1,208,Massachusetts Institute of Technology
2005,166683,14.0201,1,58,Massachusetts Institute of Technology
2005,166683,14.0701,1,50,Massachusetts Institute of Technology
2005,166683,14.0801,1,18,Massachusetts Institute of Technology
2005,166683,14.1001,1,90,Massachusetts Institute of Technology
2005,166683,14.1401,1,12,Massachusetts Institute of Technology
2005,166683,14.1801,1,28,Massachusetts Institute of Technology
2005,166683,14.1901,1,112,Massachusetts Institute of Technology
2005,166683,14.2301,1,10,Massachusetts Institute of Technology
2005,166683,14.2401,1,7,Massachusetts Institute of Technology
2005,166683,16.0101,1,3,Massachusetts Institute of Technology
2005,166683,16.0102,1,1,Massachusetts Institute of Technology
2005,166683,23.0101,1,6,Massachusetts Institute of Technology
2005,166683,23.0501,1,5,Massachusetts Institute of Technology
2005,166683,24.0101,1,6,Massachusetts Institute of Technology
2005,166683,26.0101,1,124,Massachusetts Institute of Technology
2005,166683,27.0101,1,95,Massachusetts Institute of Technology
2005,166683,30.0801,1,14,Massachusetts Institute of Technology
